"국가별(1)","산업별(1)",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"국가별(1)","산업별(1)",수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러)
"베트남","전산업",3431654003,3927476205,5760054466,7804817091,7149477442,9652073403,13464921992,15945975434,21087581632,22351690389,27770750422,32630457294,47753839220,48622097634,48177748700,48510572433,56728532097,60963679824,53479534829,58322968540,18960970754
"베트남","농림어업",6399392,6414745,7922230,6020711,7083445,17484009,51126983,62287451,116673019,97906900,52036426,63140550,46124417,61718254,70314219,49733982,47375695,54137639,49914827,45969013,15619994
"베트남","광업",2863762,2515002,1854596,3232435,2034723,3092623,3760369,9884652,6414572,7726281,8880831,11451616,14355070,15509342,15188511,19019416,27356453,33563754,27898611,21388613,5396691
"베트남","제조업",3416985942,3910316127,5735898327,7777610680,7116434292,9614167590,13397575229,15863671775,20955108124,22236401393,27696191150,32524811384,42977533573,44317154864,48051334027,48408793727,56604847887,60827041560,53360670394,58195690877,18920791659
"베트남","폐수처리 및 자원재활용",5404907,8230331,14379313,17953265,23924982,17329181,12459411,10131556,9385917,9655815,13642015,31053744,4715826160,4227715174,40911943,33025308,48952062,48936871,41050997,59920037,19162410
"벨기에","전산업",1816879838,2186493905,2581560864,3233908694,2189248861,2028476598,2255376460,2257449862,2240758078,2454703111,2023312565,2426490760,2795323768,3246212970,2707099914,2753090281,4437676618,5029456544,5024979393,4307557223,1379096271
"벨기에","농림어업",115979,121259,174770,1133697,663667,835051,4385843,1295797,565906,129923,967596,696937,908059,443407,133019,1776433,104142,2113604,91740,92399,1072
"벨기에","광업",7320752,8168431,8475512,7036914,3532549,2027711,69597,186886,0,22079,3160764,36218,5110,7790014,307456,98271,79985,263597,127264,137884,40688
"벨기에","제조업",1808745888,2177038959,2568617913,3223661636,2184276706,2022309620,2247384683,2255099045,2238926483,2453193451,2018681620,2424684591,2794170068,3237615521,2705108404,2749492694,4436669182,5026833777,5023440304,4307326940,1378915027
"벨기에","폐수처리 및 자원재활용",697219,1165256,4292669,2076447,775939,3304216,3536337,868134,1265689,1357658,502585,1073014,240531,364028,1551035,1722883,823309,245566,1320085,0,139484
"볼리비아","전산업",8466042,7668548,10190699,15112004,13126659,19782778,26635786,37959966,51106122,129701195,90337099,66339086,65707123,48969153,30434222,23244348,33384280,45682460,34797202,29152038,11361360
"볼리비아","농림어업",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7000,10000,4000,5000,0,-
"볼리비아","광업",0,0,0,0,0,0,0,0,195,28377,26771,1240,766,0,0,2304,1648,1390,0,568,433
"볼리비아","제조업",8464979,7667946,10187719,15110689,13123660,19782338,26621414,37959137,51105927,129672818,90310328,66337846,65706357,48969153,30434207,23235044,33372632,45677070,34792202,29151470,11360927
"볼리비아","폐수처리 및 자원재활용",1063,602,2980,1315,2999,440,14372,829,-,0,-,-,0,0,0,0,0,0,-,0,0
"불가리아","전산업",193340328,181236281,191236450,152306714,71600697,131361129,176820940,104785996,120364609,117808109,107688032,134652096,137416161,174343929,165646282,157413075,166799108,166514618,196062898,237191348,61369435
"불가리아","농림어업",18900,57290,0,8000,23976,50148,23996,7050,480,14779,33690,17228,38121,51429,19074,15728,7165,11347,22964,714,0
"불가리아","광업",39071,684,87355,42030,1040,0,0,0,0,264,5529,0,0,1615,679,45,10,246,0,0,0
"불가리아","제조업",193262111,181178307,191106418,152231021,71575681,131187471,176796944,104778946,120364129,117793066,106269318,134634868,137378040,174004994,165066467,157212236,166791933,166503025,196039934,237189338,61369435
"불가리아","폐수처리 및 자원재활용",20246,0,42677,25663,0,123510,0,0,0,0,1379495,0,-,285891,560062,185066,0,0,0,1296,-
"브라질","전산업",2410687076,3063431718,3487475839,5925865684,5311209750,7752579212,11821399032,10286064870,9688236019,8922090507,5494896312,4456543033,5505231583,4883693454,4809207235,3943638385,4666440266,4975561807,4343794585,5250613494,1912312109
"브라질","농림어업",104179,119725,44877,76065,53947,71148,107230,79770,69543,199137,152601,213923,281691,319133,298166,359166,174132,409269,681210,785745,181118
"브라질","광업",368157,117117,3393383,9782079,626931,303263,329266,385873,575479,1890859,2816738,594487,555080,355964,407977,242416,355121,476629,1091258,338087,124154
"브라질","제조업",2408247935,3061102757,3483397007,5915045010,5308886743,7751126469,11820013055,10282202118,9674777457,8910869723,5489014122,4455170441,5503463637,4881975498,4807155322,3942111960,4664650458,4973442124,4341121584,5248614510,1911777285
"브라질","전기가스증기수도",-,-,-,-,-,-,-,-,-,-,500,-,-,-,-,-,-,-,-,-,-
"브라질","폐수처리 및 자원재활용",1966805,2092119,640572,962530,1642129,1078332,949481,3397109,12813540,9130788,2912351,564182,931175,1042859,1345770,924843,1260555,1233785,900533,875152,229552
"사우디아라비아","전산업",2093147041,2978298272,4025836313,5253426423,3856581862,4556672615,6964298594,9112041458,8827721984,8287511137,9481872325,5643866687,5147056135,3951951360,3697120399,3301896145,3324694414,4865149713,5324699882,5234984918,1468610298
"사우디아라비아","농림어업",53190,32391,28032,27459,27237,24324,137089,638321,286130,246143,120199,101063,74736,88281,124755,143896,57598,266278,356433,233813,249791
"사우디아라비아","광업",67954,59054,29292,152420,182775,293901,616940,475169,1006694,597225,342234,395313,464826,137781,149795,224155,232432,437792,593910,1373726,738922
"사우디아라비아","제조업",2093025101,2978202388,4025713508,5253173124,3856288736,4556339060,6963541002,9110760741,8826401753,8286639350,9481336440,5643323251,5146516373,3951720969,3696818689,3301299070,3324401446,4864444873,5323717021,5233376911,1467621235
"사우디아라비아","폐수처리 및 자원재활용",796,4439,65481,73420,83114,15330,3563,167227,27407,28419,73452,47060,200,4329,27160,229024,2938,770,32518,468,350
"세네갈","전산업",16627384,22539821,32869633,41168202,41966254,44373099,62733509,57280918,75291141,127125281,146174548,250149511,78567359,119357457,85439850,77464999,98816737,89764499,111740660,163003316,39110219
"세네갈","농림어업",18750,-,-,-,90,32000,88490,131900,94400,28700,65380,36,18,682,2300,1944,65550,679,5756,7850,14596
"세네갈","광업",-,-,-,-,0,-,0,0,0,0,1800,0,0,0,0,0,0,37,0,0,0
"세네갈","제조업",16608614,22539821,32869633,41168202,41966164,44341099,62645019,57149018,75196741,127087603,146107368,250149475,78567341,119356775,85437550,77463055,98745787,89763783,111734904,162995466,39095623
"세네갈","폐수처리 및 자원재활용",20,0,0,0,0,-,0,0,0,8978,0,0,0,0,0,0,5400,0,0,0,0
